compound,n_total,unique_cell_lines,spearman_rho,spearman_p,direction,spearman_fdr,significant_fdr_0_05,significant_p_0_05,significant_p_0_10
LONAFARNIB (BRD:BRD-K41599323-001-02-3),16,16,0.4294117647058823,0.09693648522272376,positive,0.4626752240630545,False,False,True
BIRABRESIB (BRD:BRD-K43471985-001-03-0),10,10,-0.5515151515151515,0.09840117666963498,negative,0.46496030030267527,False,False,True
KI-16425 (BRD:BRD-A25569250-001-03-3),14,14,0.4593406593406593,0.09846837616829024,positive,0.46496030030267527,False,False,True
PLX 4720 (BRD:BRD-K16478699-001-09-2),20,20,0.37744360902255636,0.10087319118710483,positive,0.466494998120727,False,False,False
CHOLECALCIFEROL (BRD:BRD-K62779383-001-05-5),21,21,0.3675324675324675,0.10119902708769574,positive,0.466494998120727,False,False,False
RAPAMYCIN (BRD:BRD-K84937637-001-09-9),22,22,-0.35855448898927167,0.10129346168754431,negative,0.466494998120727,False,False,False
IDAZOXAN (BRD:BRD-A18696154-003-22-6),15,15,0.4392857142857142,0.10136057119347246,positive,0.466494998120727,False,False,False
AFATINIB (BRD:BRD-K66175015-001-12-4),14,14,-0.45494505494505494,0.10215352669182919,negative,0.466494998120727,False,False,False
BENZYLDIMETHYLHEXADECYLAMMONIUM (BRD:BRD-K23403298-003-01-9),11,11,0.5181818181818182,0.1024915397909638,positive,0.466494998120727,False,False,False
VOLASERTIB (BRD:BRD-K69776681-001-03-8),11,11,0.5181818181818182,0.1024915397909638,positive,0.466494998120727,False,False,False
AT-7519 (BRD:BRD-K13390322-001-06-3),22,22,0.3551665725578769,0.10479718977207556,positive,0.4737083652396287,False,False,False
CETRIMONIUM (BRD:BRD-K47079459-004-04-6),21,21,0.36363636363636365,0.10514930870551215,positive,0.4737083652396287,False,False,False
BARDOXOLONE-METHYL (BRD:BRD-K69694239-001-02-2),21,21,0.35974025974025975,0.10921076405040113,positive,0.48950814546448834,False,False,False
