compound,n_total,unique_cell_lines,n_high,n_low,auc_mean_high,auc_mean_low,auc_median_high,auc_median_low,delta_mean_high_minus_low,delta_median_high_minus_low,mw_p,mw_fdr,significant_fdr_0_05,significant_p_0_05,significant_p_0_10
AT-9283 (BRD:BRD-K24576554-001-04-8),7,7,3,4,0.9133122452997497,0.7424517529319867,0.901151621587262,0.7546421908769105,0.17086049236776302,0.1465094307103515,0.05714285714285714,0.33220338983050846,False,False,True
AZD5438 (BRD:BRD-K72414522-001-06-7),7,7,3,4,0.8806959563677891,0.8101320442028201,0.858787704412113,0.8134171171365201,0.07056391216496893,0.045370587275592955,0.05714285714285714,0.33220338983050846,False,False,True
AZD8931 (BRD:BRD-K98572433-001-02-9),7,7,3,4,0.6291957343628302,0.8860980022999336,0.6579763598081838,0.9050757428214717,-0.25690226793710347,-0.24709938301328793,0.05714285714285714,0.33220338983050846,False,False,True
BNTX (BRD:BRD-A55484088-050-02-5),7,7,3,4,0.9187464604738661,0.8484577453965273,0.942055949852863,0.8562129400926111,0.0702887150773388,0.08584300976025194,0.05714285714285714,0.33220338983050846,False,False,True
BX-912 (BRD:BRD-K49669041-001-08-4),7,7,3,4,0.905676479361463,0.7361222296171157,0.933344006007419,0.743173551121023,0.1695542497443473,0.19017045488639595,0.05714285714285714,0.33220338983050846,False,False,True
CHLORIDINE (BRD:BRD-K88429204-001-35-1),7,7,3,4,0.861075616220199,0.9089370456544023,0.865596747814171,0.9152229999004945,-0.04786142943420324,-0.04962625208632354,0.05714285714285714,0.33220338983050846,False,False,True
CLONAZEPAM (BRD:BRD-K38183498-001-02-0),7,7,3,4,0.777768756194678,0.633154333600732,0.766085865919172,0.6401653208665725,0.14461442259394597,0.12592054505259953,0.05714285714285714,0.33220338983050846,False,False,True
CYCLOCYTIDINE (BRD:BRD-K67536197-003-11-4),7,7,3,4,0.8547205211649619,0.7182325941731383,0.814570482729401,0.7157753416102746,0.13648792699182355,0.09879514111912646,0.05714285714285714,0.33220338983050846,False,False,True
DAUNORUBICIN (BRD:BRD-K43389675-001-02-1),7,7,3,4,0.9341862419725424,0.6943781901119405,0.9640047772262214,0.7610686208421683,0.23980805186060195,0.20293615638405305,0.05714285714285714,0.33220338983050846,False,False,True
DCEBIO (BRD:BRD-K89299012-001-06-0),7,7,3,4,0.92199236661896,0.78934453243579,0.914179095561016,0.79070284539438,0.13264783418317005,0.12347625016663599,0.05714285714285714,0.33220338983050846,False,False,True
DICLAZURIL (BRD:BRD-A06426627-001-03-5),7,7,3,4,0.8791376784089926,0.7909903278738935,0.851347240579032,0.7863983975753774,0.08814735053509914,0.06494884300365455,0.05714285714285714,0.33220338983050846,False,False,True
EMBELIC ACID (BRD:BRD-K86727142-001-12-4),7,7,3,4,0.9363076730947686,0.8872809558591737,0.924872291811778,0.905554845326149,0.04902671723559493,0.019317446485628942,0.05714285714285714,0.33220338983050846,False,False,True
EMETINE (BRD:BRD-A25687296-300-04-3),7,7,3,4,0.7071823562236513,0.5564118214389765,0.71603303529261,0.5663975671730546,0.15077053478467484,0.14963546811955541,0.05714285714285714,0.33220338983050846,False,False,True
FLOXURIDINE (BRD:BRD-K47832606-001-30-1),7,7,3,4,0.7590978785490891,0.6047473184606076,0.769721495140663,0.6458008180850755,0.15435056008848147,0.12392067705558751,0.05714285714285714,0.33220338983050846,False,False,True
GALETERONE (BRD:BRD-A07986123-001-02-8),7,7,3,4,0.779995227247343,0.8250452122530038,0.779831011998316,0.8248154991182325,-0.04504998500566071,-0.04498448711991654,0.05714285714285714,0.33220338983050846,False,False,True
GEFITINIB (BRD:BRD-K64052750-001-22-5),7,7,3,4,0.7435469170280976,0.9233850673387074,0.6915310655137183,0.9187664431011355,-0.1798381503106098,-0.2272353775874172,0.05714285714285714,0.33220338983050846,False,False,True
GEMCITABINE (BRD:BRD-K15108141-001-06-6),7,7,3,4,0.507796734098264,0.20751887647915623,0.452370207132767,0.202655840049217,0.30027785761910775,0.24971436708355,0.05714285714285714,0.33220338983050846,False,False,True
